Total Sales
9797488
8836198
7424011
9972864
18625433
7227506
9683265
15710886
5929038
7735580
18484583
8495576
7727469
11573448
12298412
9195978
7758059
11076810
16411667
9934246
24427804
39801235
10357519
8446806
14352923
10689160
17633424
12639347
23750781
15591709
10620734
18067440
20902864
25456882
31600863
27682851
18997466
10072848
23956531
29285637
21575040
14753103
15782221
25634913
33973228
20996536
22282457
19276878
20858509
19865016
21349674
9696420
26330718
18577517
